_1,_2,_3
381,13618,2
37330,37330,7
38630,1330,1
38573,2961,1
31599,7786,1
26329,38355,1
11097,17208,1
381,988,1
38377,34269,1
39378,29217,1
26394,13100,1
6550,20400,1
39640,18249,2
18249,18249,1
38657,38657,11
471,39733,1
18574,18574,1
37059,29217,1
38355,39827,1
10216,10216,5
381,39533,3
39533,39533,2
14904,23909,1
40051,7922,1
8823,7922,1
40255,40255,1
40278,24891,1
24891,24891,1
24696,40167,1
33812,33812,19
381,40545,1
8878,40584,1
30000,30000,3
40590,40590,1
38188,30114,1
17290,40502,1
40736,40736,6
303,38887,1
40827,40827,4
39014,39234,2
39234,39234,5
51133,40951,1
8501,40951,1
21254,39934,1
33202,21560,1
924,38791,4
11061,38740,1
38740,38740,1
13748,41196,2
16853,39590,1
41344,41344,1
38892,38892,49
29575,20589,2
41557,41557,4
87143,9518,1
41571,41571,1
41297,26562,1
35463,24162,1
41597,41597,1
8432,37776,1
41736,41736,3
41750,40853,2
40853,40853,137
381,41828,1
41828,41828,2
37932,41843,1
41894,41894,1
41525,40879,2
40879,40879,2
41897,41525,6
41525,41525,18
41913,41913,1
41968,24162,5
32963,14904,1
42076,40750,1
40750,40750,2
40853,42170,3
42170,42170,2
381,42345,2
42345,42345,2
42358,40853,3
381,42248,2
59692,836,1
60714,836,1
40853,42401,1
42422,42450,1
381,41491,1
40815,42518,1
42527,17618,3
29217,42515,1
42515,42515,2
31819,40853,3
32963,41728,4
13748,16368,1
836,27279,1
40853,43017,6
43017,43017,5
29781,29781,12
16220,43162,1
15828,15828,27
15402,15402,3
43384,43276,1
43368,43325,1
43361,43325,1
43398,43398,1
8878,43431,1
43077,43077,30
42726,27665,1
27665,27665,15
43215,43513,1
18434,43637,1
6433,6433,2
836,43742,2
43742,43742,1
43739,43734,1
1424,27108,2
27665,44004,1
9675,28628,1
43680,4683,5
26163,23204,3
43656,26562,2
43870,43870,2
37879,18544,1
43294,43294,13
381,44488,1
17696,44488,1
42953,42953,14
44610,44610,4
44530,836,7
44114,44114,13
37014,38143,1
38143,38143,1
44771,44771,1
29912,4683,1
44986,44986,1
44991,44991,1
45005,45005,1
381,45005,3
10640,836,11
45086,45086,4
45206,45206,1
381,41557,1
45077,45077,1
45278,45278,1
43077,836,9
44114,16401,1
7812,7812,3
28175,45488,3
29587,45488,1
12426,45488,1
2523,45488,1
28175,11097,3
11097,28175,1
45385,28175,6
45527,836,3
44101,28175,2
45069,15828,1
45763,45531,1
45865,37268,1
37268,37268,1
45507,27108,2
33603,33603,17
45930,28175,3
40853,45937,3
1426,45937,4
45937,45937,6
1426,1426,8
14152,14152,3
45507,14829,1
67354,836,1
27526,28175,3
4683,45224,1
44139,44139,21
46113,15828,1
46120,29587,3
29587,46231,1
29134,44394,2
6550,34138,1
23240,23240,48
38520,38520,1
46431,46431,1
836,46449,1
46488,46488,3
46293,12515,1
