_1,_2,_3
42354,42354,4
56502,27423,1
45264,37363,1
37363,37363,19
28175,54329,1
836,56401,3
28175,56533,1
56442,54221,1
47832,43154,1
52762,15569,1
8013,55108,1
56620,45264,3
56593,17208,1
86670,54944,1
56774,836,1
57413,51143,1
56719,56719,2
52816,15569,2
28175,56903,1
56903,56903,1
13748,56938,1
56938,56938,4
16220,3314,1
57144,45264,1
13748,57167,1
57167,57167,1
45012,45264,1
836,57186,1
836,43870,1
21232,43870,1
44198,44372,1
52664,13748,1
50441,50441,1
57387,57387,1
7714,57387,1
53479,11033,3
54395,57496,1
29412,29412,7
47832,53582,1
57599,45264,1
53477,53477,9
13748,57605,1
57588,57588,14
27983,27983,14
53937,53937,1
381,57481,1
21232,57662,1
57724,44139,1
57704,57704,1
57729,57729,1
57735,57735,2
39338,39338,9
45264,39338,1
46143,39338,1
57789,57330,4
35644,31487,1
28175,37363,6
57697,47832,1
60818,47832,1
57697,49375,1
58002,50534,2
57298,57298,1
14878,14904,1
41335,14904,1
25800,37793,2
56922,56354,2
57664,57664,2
37793,39052,1
39338,40801,1
45264,44456,3
58510,58510,1
50039,50039,5
46624,46624,5
58563,38031,1
63929,38031,1
58651,39338,2
35644,58684,1
58704,21560,1
57015,26019,1
28175,58785,1
58785,58785,5
29587,58785,1
58488,14006,1
58789,45374,1
35644,32220,1
23240,32220,1
10620,58679,1
35644,57082,1
51125,58508,1
51605,13370,1
57214,32440,2
14006,59018,1
59049,59049,2
58905,58905,2
41093,41093,3
3361,41093,1
59013,23708,1
10640,59097,2
32440,59097,1
33166,21,1
14006,59203,1
52257,52257,7
58747,58747,1
45264,57853,1
35644,56985,1
46351,59252,1
51512,51512,1
59516,35644,1
28175,32429,1
50406,27135,1
59385,59385,6
58743,59385,2
59085,59617,1
58342,59611,1
18790,49704,1
32440,59737,1
59693,59693,4
43077,59171,1
28587,836,1
14006,59425,2
58433,58433,14
59910,57493,1
33202,33202,23
59085,59025,3
60020,29587,1
59887,59887,1
59171,60080,1
46785,46785,4
1156,1156,14
60136,1156,1
41591,41591,5
35644,60267,1
29575,60297,1
1156,59954,1
60408,26562,2
29914,836,3
51506,49375,2
58789,60348,1
35837,46505,1
59085,57918,1
60544,60544,3
60099,60099,2
58587,58587,1
31457,59085,1
60680,31457,5
60742,31457,1
49700,60742,4
60683,60683,1
60777,60762,1
49590,44537,2
44537,44537,3
45264,28175,1
60934,34153,1
51708,51708,2
60051,60051,1
1256,61035,1
29169,29169,19
18150,59174,4
60714,59174,1
25673,25673,2
836,44785,2
60550,60550,1
24696,24696,4
61418,924,8
61496,61496,2
35644,59909,1
54944,51248,1
1256,61530,1
59868,27983,3
28175,61378,1
61378,61378,5
61718,61718,1
35644,61156,1
44456,45679,2
45679,45679,1
54944,54944,16
57453,37172,1
61883,61883,3
37172,61563,1
14518,1029,1
62104,62104,1
62078,61563,1
52096,8878,1
62252,62252,1
42354,62235,2
62235,62235,1
45264,62235,1
28175,62235,1
23305,62279,1
61936,61936,4
62358,62358,1
62386,62386,9
8878,61900,1
61900,61900,1
49456,29587,2
51714,62484,1
62484,62484,1
57416,62515,1
62515,62515,1
62565,41209,3
62565,62631,1
60954,62641,1
49456,56960,1
43077,23305,2
53367,53367,1
34153,61601,1
57975,54395,1
62887,26562,2
50863,50863,2
10285,29644,1
21,63129,1
63129,63129,1
62762,14519,1
49700,63287,1
63282,63282,7
54953,23159,2
63444,23159,1
50406,50406,26
36977,63528,1
61936,63528,1
45374,63528,1
51125,51125,6
50833,50833,18
63701,63701,1
51714,51714,43
63717,51714,3
26788,51714,3
62053,62053,1
6550,62386,1
61062,61062,2
26,24478,1
24478,24478,3
57434,63856,1
38526,61661,1
61661,61661,1
54024,54024,1
54096,57627,1
61261,51714,1
21257,40558,1
64244,64244,1
39513,39513,3
64308,54944,4
21,21560,1
36977,51714,1
29575,64392,1
33279,33279,6
3085,3085,1
40515,63932,1
61418,61418,32
59446,23159,3
64712,41965,1
64394,8820,1
64500,64500,5
64399,64399,1
60954,64904,1
28175,29575,1
65055,65055,2
63540,64953,1
64953,64953,3
10814,8820,1
8820,65162,3
38339,65173,3
65173,65173,3
64760,65217,1
41993,43476,2
62846,17208,1
16853,65147,2
65147,65147,1
64760,65291,1
65403,9123,1
65410,65410,1
38657,59446,1
68493,59446,1
28175,39851,1
39851,39851,1
23240,64469,1
57429,57429,5
65493,53812,2
51471,23240,1
54502,51026,1
8820,65668,2
62018,62018,8
65721,65721,1
61645,63838,1
52089,1330,1
20354,20354,1
50833,65055,1
65916,65916,2
26562,59446,2
65166,65166,3
45374,65166,1
35679,35679,17
65573,65573,1
58135,58135,13
44456,50019,1
50019,50019,1
53812,44083,1
66379,66379,1
17640,17640,1
66481,66484,1
66443,59042,1
26394,61645,1
63826,63826,1
66605,66605,3
59004,59004,12
35597,35597,3
66626,23492,1
23492,23492,12
66737,23240,3
35644,41771,1
64588,64588,1
50833,66921,1
29587,46265,1
46265,46265,2
66938,46265,1
61445,18501,1
67081,53357,5
53357,53357,29
66759,66759,7
63582,63582,2
88234,201,1
96678,201,1
59341,201,1
58750,58310,1
67283,59417,1
59417,59417,1
63540,63540,7
20492,67397,2
67397,67397,2
67328,67025,1
66759,67025,1
67302,67302,1
23091,23091,1
47270,47270,2
49590,67483,2
14070,14070,1
53812,58189,3
67483,18401,1
18401,18401,1
33499,33499,2
67642,23240,3
67598,67598,4
52291,67598,1
32669,1330,1
67483,67483,7
21,67483,1
67494,67494,1
67243,67243,1
53812,67908,2
10640,18626,1
54395,67942,2
61756,60954,3
53812,47688,1
67483,53278,1
53278,53278,5
68154,68154,12
68121,68121,1
68154,68034,1
18150,68254,1
924,45264,1
63565,63565,2
14904,45264,1
68373,68373,2
68367,68373,1
44965,18626,1
68208,23240,1
90226,68495,1
28175,67605,3
67605,67605,15
53479,62846,2
66596,66596,1
68677,50833,1
45264,53648,1
53648,53648,3
68754,8878,1
54754,8878,1
68779,45264,2
66974,56679,1
37776,68230,1
65776,33603,1
56329,69028,1
23240,69148,1
68954,68954,2
69315,54205,2
52291,52291,86
28175,38315,2
38315,38315,2
69408,67328,1
69445,21080,1
49697,69377,1
69377,69377,1
42246,60292,1
58006,58006,3
69538,69538,4
41771,69543,2
74003,58135,1
54221,54221,1
10814,68136,1
84833,68136,1
55122,64596,1
54252,3314,1
64596,29812,1
10372,68247,1
68247,68247,3
67993,67993,2
67328,67328,70
69634,69634,1
69670,67328,1
59384,59384,1
55122,67611,2
63237,63237,2
45603,45603,2
68023,50613,1
69103,26917,1
67328,69776,2
26394,61417,1
65776,69797,1
69822,69822,56
33603,33759,1
69471,55122,3
69941,69670,1
69670,69670,17
70074,52291,1
70078,41771,1
70147,70147,1
11097,64830,1
64830,64830,1
56922,69845,1
70243,70243,5
67328,70243,1
70243,67328,1
31086,70267,1
62846,62846,12
28175,70234,2
70234,70234,2
924,70321,3
70321,70321,1
70454,26394,1
70603,70603,3
70637,63654,1
56761,56761,2
924,56761,1
23305,201,1
201,70875,1
68742,68742,3
68023,70066,1
70845,14675,2
68023,71036,1
26917,71070,1
61849,70066,2
41771,71093,2
69484,52291,4
56408,67328,3
51209,71166,1
69484,69484,7
14302,71316,1
33202,51209,1
65593,65593,2
68023,71393,1
29575,70363,1
67412,67412,18
64025,64025,1
71418,70066,1
60026,60026,1
67125,67125,1
71349,71218,2
43636,43636,1
70891,71581,1
70066,71661,1
70838,70838,5
63906,63906,8
71218,18247,1
66974,18247,4
105873,10814,1
55122,69471,1
1156,52291,1
42044,71677,1
1330,71677,1
71677,71677,1
52291,73052,1
73052,73052,1
61846,65908,1
67328,18693,1
924,66626,1
73224,924,2
29353,64041,2
64041,64041,5
71587,71587,3
71725,71725,2
47615,47279,1
30613,30613,4
71219,71219,28
45264,73740,2
73740,73740,9
65131,67733,1
73865,23305,2
47488,56702,2
56702,56702,3
74081,71219,1
17397,17397,1
73332,73965,1
60379,28470,3
28470,28470,2
74185,74185,1
23305,74001,1
74294,74294,1
74281,65323,1
55122,70118,1
71442,74508,2
73441,73441,29
74266,924,1
50833,21,1
74207,74207,2
74065,74207,1
66974,65323,2
70674,18703,1
32669,32669,4
74716,35596,1
70674,68545,1
10814,53274,2
71442,53274,1
38083,38083,3
51286,38083,1
2459,67050,1
74855,71219,1
74707,39845,1
60710,69822,2
68023,75044,1
58083,58083,1
303,60690,1
42354,45610,1
68023,68975,1
75218,75218,2
73680,73680,5
75280,71442,1
18703,73441,2
73907,73907,3
75440,75440,1
27432,56760,1
75257,75257,1
74735,74735,11
75450,75450,2
75409,51836,1
75158,75158,3
28685,75582,1
74735,33335,3
33335,33335,3
70898,70898,3
75657,2459,1
75691,75691,1
59339,65131,1
75181,75181,1
75787,46505,1
46505,46505,3
75831,75831,1
75825,75825,1
64377,8013,1
73890,73890,2
76022,76022,1
76072,44401,1
23305,64138,1
76199,65131,1
76212,76212,1
76236,76236,1
64377,74583,1
38911,38911,6
71442,76427,1
65131,73315,1
76590,76590,1
33551,33551,40
28175,76617,1
69822,65269,3
65269,65269,1
74421,76523,1
53812,65338,2
75738,75738,7
74955,75738,1
